GradientBoostingClassifier_Client_0,GradientBoostingClassifier_Client_0_proba,GradientBoostingClassifier_Client_1,GradientBoostingClassifier_Client_1_proba,DecisionTreeClassifier_Client_2,DecisionTreeClassifier_Client_2_proba,LinearDiscriminantAnalysis_Client_3,LinearDiscriminantAnalysis_Client_3_proba,RandomForestClassifier_Client_4,RandomForestClassifier_Client_4_proba,GaussianNB_Client_5,GaussianNB_Client_5_proba,true_label
9,0.9600508739030132,9,0.9677364390561932,9,1.0,9,0.9844916740998308,9,0.88,6,0.9997458574222429,9
9,0.9367077788664806,9,0.976506179170385,9,1.0,9,0.9838512502236415,9,0.99,6,0.875646282809403,9
9,0.9481104508089977,9,0.9645201637882803,9,1.0,9,0.965501833525769,9,0.98,6,0.9808647511403908,9
9,0.909965733589795,9,0.9330334932859381,9,1.0,9,0.9935433048894994,9,0.84,6,0.7147164572240474,9
1,0.9441836126875167,1,0.9899559799137213,1,1.0,1,0.9999669547787184,1,0.94,3,0.6326745611693871,1
9,0.8951653178308482,9,0.90866571077984,6,1.0,9,0.7039580652833419,9,0.7,6,0.997937332085805,6
9,0.942680478540193,9,0.9484320993414562,9,1.0,9,0.9506995223204798,9,0.93,0,0.5627083598526403,9
9,0.9638423256512247,9,0.9819404184334759,9,1.0,9,0.9851279904552181,9,0.92,6,0.9995578557955258,9
9,0.9544254980833267,9,0.8900822239233211,9,1.0,9,0.9797904696823873,9,0.96,6,0.915249115191852,9
9,0.8998983752597581,9,0.9436260093223753,9,1.0,9,0.9653596085292228,9,0.94,6,0.9976103263804658,9
9,0.8117718293387816,9,0.5776387581863602,9,1.0,9,0.8442155446174755,9,0.85,6,0.9989591382596296,9
9,0.8745245821168812,9,0.8640860384277886,9,1.0,9,0.9571033160588037,9,0.54,6,0.9169970027482138,4
9,0.9464169595869941,9,0.9599762880340712,4,1.0,9,0.8617872470581246,9,0.9,6,0.9995569799774874,9
9,0.9592651734784644,9,0.9770488185088745,9,1.0,9,0.9869920352419985,9,0.97,9,0.33612942224473646,9
9,0.9467503462431689,9,0.9599588851472525,9,1.0,9,0.9868705395175992,9,0.78,6,0.9995965751138383,9
9,0.9005974066989731,9,0.944760392336428,9,1.0,9,0.9838318216269121,9,0.98,6,0.9983105802407786,9
9,0.9010753216743638,9,0.9239543886463493,9,1.0,9,0.9576948604540625,9,0.92,6,0.90547312110372,9
9,0.9454435231544992,9,0.9670727452309764,9,1.0,9,0.9682903504770681,9,1.0,6,0.9187299009534057,9
9,0.931371918231359,9,0.8729532737803255,0,1.0,9,0.6927613924258834,9,0.92,6,0.9285390871355059,0
9,0.9401586495019727,9,0.9755830840180304,9,1.0,9,0.969912184090394,9,0.95,6,0.7555033403118068,9
9,0.9008651945028514,9,0.9278853042131896,9,1.0,9,0.9705573918633468,9,0.95,6,0.999746819889778,9
9,0.8134485129856501,9,0.8800435108044783,9,1.0,9,0.9907112929352375,9,0.86,4,0.9999999998592557,9
9,0.9426910851024423,9,0.96441268175147,9,1.0,9,0.9609103105504812,9,0.95,6,0.9996650291715291,9
9,0.9528506495034804,9,0.968522244364804,9,1.0,9,0.9856953302953838,9,1.0,1,0.2516204464900272,9
9,0.9047204984075817,9,0.9531853954211293,9,1.0,9,0.9653462667127829,9,0.91,6,0.9974443585837292,9
9,0.8799138155353786,9,0.941893849665813,0,1.0,9,0.9658023740193801,9,0.89,6,0.9982999739420618,9
9,0.9032412470443366,9,0.9529330590726406,9,1.0,9,0.9720060670373978,9,0.99,6,0.8867360464556404,9
9,0.9184425658420323,9,0.9666428661248112,9,1.0,9,0.9661563237198052,9,0.88,6,0.6211567256738619,9
8,0.49251879000083826,3,0.6044867699766051,3,1.0,3,0.5018100925831326,8,0.64,3,0.9996297610850009,8
9,0.8758987436853813,9,0.8779338294478092,0,1.0,9,0.7574601146793333,9,0.91,6,0.9697244425040632,9
9,0.9147754316557261,9,0.9432143031386019,9,1.0,9,0.9763162483078547,9,1.0,6,0.9981391844167556,9
9,0.9079538786859197,9,0.9657588019799557,9,1.0,9,0.9700435496562763,9,0.94,6,0.7003749822639882,9
9,0.8862978439824176,9,0.8846877230823006,9,1.0,2,0.6936215672540466,9,0.85,6,0.9981425055677466,9
9,0.9474157061116185,9,0.9363292307652058,9,1.0,9,0.7757567775845445,9,0.88,6,0.9996513677811328,9
9,0.9348783887709347,9,0.9445742821717574,9,1.0,9,0.9779964085128331,9,0.99,6,0.9996900992392731,9
9,0.8537809909222536,9,0.7727609679742388,9,1.0,9,0.7595964529060197,9,0.65,6,0.996501607318546,9
9,0.9401528613485969,9,0.951090462749841,9,1.0,9,0.9909576381999152,9,0.97,6,0.9995774589043309,9
9,0.9589258624986038,9,0.9816739634254059,9,1.0,9,0.9436257183480908,9,0.98,0,0.9928873091924291,9
9,0.907086859739108,9,0.9236535075948202,9,1.0,9,0.9614524600212868,9,0.99,6,0.9991246469644441,9
9,0.9160069069181488,9,0.831695216162277,9,1.0,9,0.7304766934248041,9,0.92,6,0.5927563827211058,9
9,0.830163912825464,9,0.7964013519241953,9,1.0,9,0.7930643495000541,9,0.85,6,0.9996761686761981,9
9,0.9499624810029282,9,0.9417262295292208,9,1.0,9,0.904968667397829,9,0.9,6,0.9345072845444976,9
9,0.9026990870169427,9,0.9386322188049889,9,1.0,9,0.9622286204365459,9,0.98,6,0.9984595395437657,9
9,0.9113250129153966,9,0.9533974861942994,9,1.0,9,0.9501921479062216,9,0.86,6,0.9938530372833203,9
9,0.9595963621452843,9,0.9742647140062952,9,1.0,9,0.976856346899119,9,1.0,6,0.9995834367851603,9
9,0.9602511011368509,9,0.9833586172475638,9,1.0,9,0.9451446782880848,9,1.0,6,0.9996153093777735,9
9,0.9657908649645106,9,0.9793986511954789,9,1.0,9,0.953833903521155,9,0.96,6,0.9308146389014649,9
9,0.9530127077787471,9,0.9735408633029972,9,1.0,9,0.989901157439168,9,0.95,3,0.5664380423549724,9
9,0.6634481146760747,1,0.5970778099512682,1,1.0,1,0.9999033831334365,1,0.52,6,0.9965399104304388,1
9,0.33158124609731804,1,0.982348403795957,1,1.0,1,0.9999961212737626,1,0.3,6,0.52964899829573,2
4,0.6605381590869843,4,0.9709180333136509,4,1.0,9,0.9320066728659189,4,0.76,0,0.9770311580001668,4
8,0.6744941272910466,8,0.5954413647960883,8,1.0,3,0.5111620189375192,8,0.82,3,0.9995395404134227,8
9,0.8817993596344091,9,0.9375674274237652,9,1.0,9,0.9313481546409662,9,0.77,6,0.9993346264113983,9
9,0.9284526100765408,9,0.9709418173111097,9,1.0,9,0.9816761813883389,9,0.98,6,0.9992412156217768,9
9,0.8927098668369473,9,0.8999970350929133,9,1.0,9,0.9341077831556813,9,0.93,6,0.9176468847250968,9
9,0.9465017479063393,9,0.9470327020715512,9,1.0,9,0.988992423012665,9,0.85,6,0.9979929674604586,9
9,0.8798658641382894,9,0.9344891221855861,9,1.0,9,0.7632293340073093,9,0.85,0,0.8439992940499604,9
9,0.9090185017662725,9,0.9057511188777521,9,1.0,9,0.9705885520241498,9,0.85,6,0.995506152174065,9
9,0.8393555779494212,9,0.5684892036482492,9,1.0,9,0.861916143600004,9,0.96,6,0.9990613366217942,9
9,0.9546866413569726,9,0.9622493429340556,6,1.0,9,0.9320625558417692,9,0.9,6,0.9969428051557906,9
9,0.9579973213559395,9,0.9755587830770355,9,1.0,9,0.8649311951660299,9,0.97,6,0.9994948456332755,9
