GradientBoostingClassifier_Client_0,GradientBoostingClassifier_Client_0_proba,GradientBoostingClassifier_Client_1,GradientBoostingClassifier_Client_1_proba,DecisionTreeClassifier_Client_2,DecisionTreeClassifier_Client_2_proba,LinearDiscriminantAnalysis_Client_3,LinearDiscriminantAnalysis_Client_3_proba,RandomForestClassifier_Client_4,RandomForestClassifier_Client_4_proba,GaussianNB_Client_5,GaussianNB_Client_5_proba,true_label,final_prediction,final_probability
9,0.9600508739030132,9,0.9677364390561932,9,1.0,9,0.9844916740998308,9,0.88,6,0.9997458574222428,9,9.0,1.0
9,0.9367077788664806,9,0.976506179170385,9,1.0,9,0.9838512502236416,9,0.99,6,0.875646282809403,9,9.0,1.0
9,0.9481104508089976,9,0.9645201637882804,9,1.0,9,0.965501833525769,9,0.98,6,0.9808647511403908,9,9.0,1.0
9,0.909965733589795,9,0.933033493285938,9,1.0,9,0.9935433048894994,9,0.84,6,0.7147164572240474,9,9.0,1.0
1,0.9441836126875168,1,0.9899559799137212,1,1.0,1,0.9999669547787184,1,0.94,3,0.6326745611693871,1,1.0,1.0
9,0.8951653178308482,9,0.90866571077984,6,1.0,9,0.7039580652833419,9,0.7,6,0.997937332085805,6,9.0,0.90866571077984
9,0.942680478540193,9,0.9484320993414562,9,1.0,9,0.9506995223204798,9,0.93,0,0.5627083598526403,9,9.0,1.0
9,0.9638423256512249,9,0.981940418433476,9,1.0,9,0.985127990455218,9,0.92,6,0.9995578557955258,9,9.0,1.0
9,0.9544254980833268,9,0.8900822239233211,9,1.0,9,0.9797904696823873,9,0.96,6,0.915249115191852,9,9.0,1.0
9,0.8998983752597581,9,0.9436260093223752,9,1.0,9,0.9653596085292228,9,0.94,6,0.9976103263804658,9,9.0,1.0
9,0.8117718293387816,9,0.5776387581863602,9,1.0,9,0.8442155446174755,9,0.85,6,0.9989591382596296,9,9.0,1.0
9,0.8745245821168812,9,0.8640860384277886,9,1.0,9,0.9571033160588036,9,0.54,6,0.9169970027482138,4,9.0,1.0
9,0.946416959586994,9,0.9599762880340712,4,1.0,9,0.8617872470581246,9,0.9,6,0.9995569799774874,9,9.0,0.9599762880340712
9,0.9592651734784644,9,0.9770488185088744,9,1.0,9,0.9869920352419984,9,0.97,9,0.3361294222447364,9,9.0,1.0
9,0.9467503462431688,9,0.9599588851472524,9,1.0,9,0.9868705395175992,9,0.78,6,0.9995965751138384,9,9.0,1.0
9,0.9005974066989731,9,0.944760392336428,9,1.0,9,0.983831821626912,9,0.98,6,0.9983105802407786,9,9.0,1.0
9,0.9010753216743638,9,0.9239543886463492,9,1.0,9,0.9576948604540624,9,0.92,6,0.90547312110372,9,9.0,1.0
9,0.9454435231544992,9,0.9670727452309764,9,1.0,9,0.968290350477068,9,1.0,6,0.9187299009534056,9,9.0,1.0
